File task set path, File best allocation path, nb of tasks, Umltc, UHiHi, ULoLo, Umxcrun, UHi-LoHi, nb of Hi tasks
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115427480528.txt,/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115427480528.txt_modal_server_allocation.txt,14,3.94807489151,3.4,0.548074891513,3.44646467821,2.69039925941,9
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115426387972.txt,/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115426387972.txt_modal_server_allocation.txt,13,4.20485358177,3.4,0.804853581774,3.56453221319,2.77741897435,7
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115423579271.txt,/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115423579271.txt_modal_server_allocation.txt,12,3.6947889534,3.4,0.294788953394,3.4,2.29879450454,8
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115425369958.txt,/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115425369958.txt_modal_server_allocation.txt,10,3.52465209841,3.4,0.124652098409,3.4,2.52472753138,9
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115422270171.txt,/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115422270171.txt_modal_server_allocation.txt,12,3.76660755113,3.4,0.366607551124,3.4,2.59350548388,8
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115424755390.txt,/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115424755390.txt_modal_server_allocation.txt,11,3.58658768454,3.4,0.18658768454,3.4,2.60843029622,8
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115427946036.txt,/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115427946036.txt_modal_server_allocation.txt,16,3.88361344025,3.4,0.483613440248,3.42094264329,2.38421730327,10
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115427747218.txt,/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115427747218.txt_modal_server_allocation.txt,9,3.61457287675,3.4,0.214572876746,3.61457287675,2.69457363457,8
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115421471983.txt,/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115421471983.txt_modal_server_allocation.txt,9,3.62177048132,3.4,0.221770481315,3.4,2.46747415783,7
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_2811542652532.txt,/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_2811542652532.txt_modal_server_allocation.txt,12,3.77007698454,3.4,0.370076984541,3.4,2.71807821858,9
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115421870668.txt,/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115421870668.txt_modal_server_allocation.txt,13,3.75016271349,3.4,0.350162713493,3.60509635556,2.72199618084,9
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115421333372.txt,/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115421333372.txt_modal_server_allocation.txt,12,3.92519849596,3.4,0.525198495959,3.4,2.86931097176,8
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115427415525.txt,/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115427415525.txt_modal_server_allocation.txt,12,4.00053127662,3.4,0.600531276619,3.4,2.42231809472,8
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115426319830.txt,/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115426319830.txt_modal_server_allocation.txt,13,4.19487304655,3.4,0.794873046552,3.42054387077,2.69918387568,8
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115427815660.txt,/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115427815660.txt_modal_server_allocation.txt,9,3.66001291703,3.4,0.260012917034,3.4,2.33052341098,6
/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115424553600.txt,/cal/homes/lmillet/Projet-PAF/taskGenerationBaruah/Log_nbProc_4_prob_hi_0.7_period_10_100_util_0.05_0.9_ratio_2_8_log_uniform_100sets/Utilization_3.4/taskParameters_processor_4_28115424553600.txt_modal_server_allocation.txt,19,4.32460430958,3.4,0.924604309576,3.7512485083,2.76923080224,11
